consumer_id,cluster,cluster_label
KH00101445,0,Lower-frequency activity — Segment 1
KH00101450,0,Lower-frequency activity — Segment 1
KH00101485,1,Higher online-spend share — Segment 2
KH00101490,1,Higher online-spend share — Segment 2
KH00101525,0,Lower-frequency activity — Segment 1
KH00101530,0,Lower-frequency activity — Segment 1
KH00101565,0,Lower-frequency activity — Segment 1
KH00101570,0,Lower-frequency activity — Segment 1
KH00101605,1,Higher online-spend share — Segment 2
KH00101610,1,Higher online-spend share — Segment 2
KH00101645,1,Higher online-spend share — Segment 2
KH00101650,0,Lower-frequency activity — Segment 1
KH00101685,0,Lower-frequency activity — Segment 1
KH00101690,1,Higher online-spend share — Segment 2
KH00101725,1,Higher online-spend share — Segment 2
KH00101730,0,Lower-frequency activity — Segment 1
KH00101765,0,Lower-frequency activity — Segment 1
KH00101770,0,Lower-frequency activity — Segment 1
KH00101805,1,Higher online-spend share — Segment 2
KH00101810,0,Lower-frequency activity — Segment 1
KH00101845,1,Higher online-spend share — Segment 2
KH00101850,0,Lower-frequency activity — Segment 1
KH00101885,1,Higher online-spend share — Segment 2
KH00101890,0,Lower-frequency activity — Segment 1
KH00101925,1,Higher online-spend share — Segment 2
KH00101930,0,Lower-frequency activity — Segment 1
KH00101965,1,Higher online-spend share — Segment 2
KH00101970,0,Lower-frequency activity — Segment 1
KH00102005,1,Higher online-spend share — Segment 2
KH00102010,0,Lower-frequency activity — Segment 1
KH00102045,1,Higher online-spend share — Segment 2
KH00102050,0,Lower-frequency activity — Segment 1
KH00102085,1,Higher online-spend share — Segment 2
KH00102090,0,Lower-frequency activity — Segment 1
KH00102125,0,Lower-frequency activity — Segment 1
KH00102130,0,Lower-frequency activity — Segment 1
KH00102165,0,Lower-frequency activity — Segment 1
KH00102170,0,Lower-frequency activity — Segment 1
KH00102205,0,Lower-frequency activity — Segment 1
KH00102210,0,Lower-frequency activity — Segment 1
KH00102245,0,Lower-frequency activity — Segment 1
KH00102250,0,Lower-frequency activity — Segment 1
KH00102285,1,Higher online-spend share — Segment 2
KH00102290,1,Higher online-spend share — Segment 2
KH00102325,1,Higher online-spend share — Segment 2
KH00102330,0,Lower-frequency activity — Segment 1
KH00102365,1,Higher online-spend share — Segment 2
KH00102370,0,Lower-frequency activity — Segment 1
KH00102405,1,Higher online-spend share — Segment 2
KH00102410,1,Higher online-spend share — Segment 2
KH00102445,1,Higher online-spend share — Segment 2
KH00102450,0,Lower-frequency activity — Segment 1
KH00102485,1,Higher online-spend share — Segment 2
KH00102490,1,Higher online-spend share — Segment 2
KH00102525,0,Lower-frequency activity — Segment 1
KH00102530,1,Higher online-spend share — Segment 2
KH00102565,1,Higher online-spend share — Segment 2
KH00102570,1,Higher online-spend share — Segment 2
KH00102605,0,Lower-frequency activity — Segment 1
KH00102610,1,Higher online-spend share — Segment 2
KH00102645,1,Higher online-spend share — Segment 2
KH00102650,1,Higher online-spend share — Segment 2
KH00102685,1,Higher online-spend share — Segment 2
KH00102690,1,Higher online-spend share — Segment 2
KH00102725,0,Lower-frequency activity — Segment 1
KH00102730,1,Higher online-spend share — Segment 2
KH00102765,1,Higher online-spend share — Segment 2
KH00102770,0,Lower-frequency activity — Segment 1
KH00102805,1,Higher online-spend share — Segment 2
KH00102810,1,Higher online-spend share — Segment 2
KH00102845,1,Higher online-spend share — Segment 2
KH00102850,1,Higher online-spend share — Segment 2
KH00102885,1,Higher online-spend share — Segment 2
KH00102890,0,Lower-frequency activity — Segment 1
KH00102925,1,Higher online-spend share — Segment 2
KH00102930,0,Lower-frequency activity — Segment 1
KH00102965,1,Higher online-spend share — Segment 2
KH00102970,0,Lower-frequency activity — Segment 1
KH00103005,0,Lower-frequency activity — Segment 1
KH00103010,1,Higher online-spend share — Segment 2
KH00103045,1,Higher online-spend share — Segment 2
KH00103050,1,Higher online-spend share — Segment 2
KH00103085,1,Higher online-spend share — Segment 2
KH00103090,0,Lower-frequency activity — Segment 1
KH00103125,1,Higher online-spend share — Segment 2
KH00103130,0,Lower-frequency activity — Segment 1
KH00103165,0,Lower-frequency activity — Segment 1
KH00103170,0,Lower-frequency activity — Segment 1
KH00103205,0,Lower-frequency activity — Segment 1
KH00103210,0,Lower-frequency activity — Segment 1
KH00103245,1,Higher online-spend share — Segment 2
KH00103250,1,Higher online-spend share — Segment 2
KH00103285,0,Lower-frequency activity — Segment 1
KH00103290,0,Lower-frequency activity — Segment 1
KH00103325,0,Lower-frequency activity — Segment 1
KH00103330,0,Lower-frequency activity — Segment 1
KH00103365,0,Lower-frequency activity — Segment 1
KH00103370,0,Lower-frequency activity — Segment 1
KH00103405,1,Higher online-spend share — Segment 2
KH00103410,0,Lower-frequency activity — Segment 1
KH00103445,0,Lower-frequency activity — Segment 1
KH00103450,0,Lower-frequency activity — Segment 1
KH00103485,1,Higher online-spend share — Segment 2
KH00103490,1,Higher online-spend share — Segment 2
KH00103525,0,Lower-frequency activity — Segment 1
KH00103530,1,Higher online-spend share — Segment 2
KH00103565,1,Higher online-spend share — Segment 2
KH00103570,0,Lower-frequency activity — Segment 1
KH00103605,1,Higher online-spend share — Segment 2
KH00103610,0,Lower-frequency activity — Segment 1
KH00103645,0,Lower-frequency activity — Segment 1
KH00103650,0,Lower-frequency activity — Segment 1
KH00103685,1,Higher online-spend share — Segment 2
KH00103690,1,Higher online-spend share — Segment 2
KH00103725,0,Lower-frequency activity — Segment 1
KH00103730,0,Lower-frequency activity — Segment 1
KH00103765,0,Lower-frequency activity — Segment 1
KH00103770,0,Lower-frequency activity — Segment 1
KH00103805,0,Lower-frequency activity — Segment 1
KH00103810,1,Higher online-spend share — Segment 2
KH00103845,0,Lower-frequency activity — Segment 1
KH00103850,1,Higher online-spend share — Segment 2
KH00103885,0,Lower-frequency activity — Segment 1
KH00103890,0,Lower-frequency activity — Segment 1
KH00103925,0,Lower-frequency activity — Segment 1
KH00103930,0,Lower-frequency activity — Segment 1
KH00103965,1,Higher online-spend share — Segment 2
KH00103970,1,Higher online-spend share — Segment 2
KH00104005,0,Lower-frequency activity — Segment 1
KH00104010,0,Lower-frequency activity — Segment 1
KH00104045,0,Lower-frequency activity — Segment 1
KH00104050,1,Higher online-spend share — Segment 2
KH00104085,1,Higher online-spend share — Segment 2
KH00104090,1,Higher online-spend share — Segment 2
KH00104125,1,Higher online-spend share — Segment 2
KH00104130,0,Lower-frequency activity — Segment 1
KH00104165,0,Lower-frequency activity — Segment 1
KH00104170,0,Lower-frequency activity — Segment 1
KH00104205,0,Lower-frequency activity — Segment 1
KH00104210,0,Lower-frequency activity — Segment 1
KH00104245,1,Higher online-spend share — Segment 2
KH00104250,0,Lower-frequency activity — Segment 1
KH00104285,0,Lower-frequency activity — Segment 1
KH00104290,1,Higher online-spend share — Segment 2
KH00104325,0,Lower-frequency activity — Segment 1
KH00104330,1,Higher online-spend share — Segment 2
KH00104365,0,Lower-frequency activity — Segment 1
KH00104370,0,Lower-frequency activity — Segment 1
KH00104405,1,Higher online-spend share — Segment 2
KH00104410,0,Lower-frequency activity — Segment 1
KH00104445,0,Lower-frequency activity — Segment 1
KH00104450,1,Higher online-spend share — Segment 2
KH00104485,1,Higher online-spend share — Segment 2
KH00104490,1,Higher online-spend share — Segment 2
KH00104525,1,Higher online-spend share — Segment 2
KH00104530,0,Lower-frequency activity — Segment 1
KH00104565,0,Lower-frequency activity — Segment 1
KH00104570,0,Lower-frequency activity — Segment 1
KH00104605,1,Higher online-spend share — Segment 2
KH00104610,1,Higher online-spend share — Segment 2
KH00104645,1,Higher online-spend share — Segment 2
KH00104650,1,Higher online-spend share — Segment 2
KH00104685,1,Higher online-spend share — Segment 2
KH00104690,0,Lower-frequency activity — Segment 1
KH00104725,1,Higher online-spend share — Segment 2
KH00104730,1,Higher online-spend share — Segment 2
KH00104765,1,Higher online-spend share — Segment 2
KH00104770,0,Lower-frequency activity — Segment 1
KH00104805,1,Higher online-spend share — Segment 2
KH00104810,1,Higher online-spend share — Segment 2
KH00104845,0,Lower-frequency activity — Segment 1
KH00104850,1,Higher online-spend share — Segment 2
KH00104885,0,Lower-frequency activity — Segment 1
KH00104890,0,Lower-frequency activity — Segment 1
KH00104925,1,Higher online-spend share — Segment 2
KH00104930,0,Lower-frequency activity — Segment 1
KH00104965,0,Lower-frequency activity — Segment 1
KH00104970,0,Lower-frequency activity — Segment 1
KH00105005,0,Lower-frequency activity — Segment 1
KH00105010,0,Lower-frequency activity — Segment 1
KH00105045,0,Lower-frequency activity — Segment 1
KH00105050,0,Lower-frequency activity — Segment 1
KH00105085,0,Lower-frequency activity — Segment 1
KH00105090,1,Higher online-spend share — Segment 2
KH00105125,1,Higher online-spend share — Segment 2
KH00105130,1,Higher online-spend share — Segment 2
KH00105165,1,Higher online-spend share — Segment 2
KH00105170,0,Lower-frequency activity — Segment 1
KH00105205,1,Higher online-spend share — Segment 2
KH00105210,1,Higher online-spend share — Segment 2
KH00105245,1,Higher online-spend share — Segment 2
KH00105250,1,Higher online-spend share — Segment 2
KH00105285,0,Lower-frequency activity — Segment 1
KH00105290,1,Higher online-spend share — Segment 2
KH00105325,1,Higher online-spend share — Segment 2
KH00105330,1,Higher online-spend share — Segment 2
KH00105365,1,Higher online-spend share — Segment 2
KH00105370,1,Higher online-spend share — Segment 2
KH00105405,0,Lower-frequency activity — Segment 1
KH00105410,0,Lower-frequency activity — Segment 1
KH00105445,0,Lower-frequency activity — Segment 1
KH00105450,1,Higher online-spend share — Segment 2
KH00105485,0,Lower-frequency activity — Segment 1
KH00105490,1,Higher online-spend share — Segment 2
KH00105525,0,Lower-frequency activity — Segment 1
KH00105530,0,Lower-frequency activity — Segment 1
KH00105565,1,Higher online-spend share — Segment 2
KH00105570,0,Lower-frequency activity — Segment 1
KH00105605,1,Higher online-spend share — Segment 2
KH00105610,0,Lower-frequency activity — Segment 1
KH00105645,0,Lower-frequency activity — Segment 1
KH00105650,0,Lower-frequency activity — Segment 1
KH00105685,1,Higher online-spend share — Segment 2
KH00105690,0,Lower-frequency activity — Segment 1
KH00105725,0,Lower-frequency activity — Segment 1
KH00105730,1,Higher online-spend share — Segment 2
KH00105765,0,Lower-frequency activity — Segment 1
KH00105770,1,Higher online-spend share — Segment 2
KH00105805,1,Higher online-spend share — Segment 2
KH00105810,0,Lower-frequency activity — Segment 1
KH00105845,0,Lower-frequency activity — Segment 1
KH00105850,1,Higher online-spend share — Segment 2
KH00105885,0,Lower-frequency activity — Segment 1
KH00105890,0,Lower-frequency activity — Segment 1
KH00105925,1,Higher online-spend share — Segment 2
KH00105930,1,Higher online-spend share — Segment 2
KH00105965,1,Higher online-spend share — Segment 2
KH00105970,0,Lower-frequency activity — Segment 1
KH00106005,1,Higher online-spend share — Segment 2
KH00106010,0,Lower-frequency activity — Segment 1
KH00106045,0,Lower-frequency activity — Segment 1
KH00106050,0,Lower-frequency activity — Segment 1
KH00106085,1,Higher online-spend share — Segment 2
KH00106090,1,Higher online-spend share — Segment 2
KH00106125,1,Higher online-spend share — Segment 2
KH00106130,1,Higher online-spend share — Segment 2
KH00106165,0,Lower-frequency activity — Segment 1
KH00106170,1,Higher online-spend share — Segment 2
KH00106205,1,Higher online-spend share — Segment 2
KH00106210,1,Higher online-spend share — Segment 2
KH00106245,0,Lower-frequency activity — Segment 1
KH00106250,0,Lower-frequency activity — Segment 1
KH00106285,1,Higher online-spend share — Segment 2
KH00106290,0,Lower-frequency activity — Segment 1
KH00106325,0,Lower-frequency activity — Segment 1
KH00106330,1,Higher online-spend share — Segment 2
KH00106365,0,Lower-frequency activity — Segment 1
KH00106370,1,Higher online-spend share — Segment 2
KH00106405,0,Lower-frequency activity — Segment 1
KH00106410,1,Higher online-spend share — Segment 2
KH00106445,0,Lower-frequency activity — Segment 1
KH00106450,0,Lower-frequency activity — Segment 1
KH00106485,0,Lower-frequency activity — Segment 1
KH00106490,0,Lower-frequency activity — Segment 1
KH00106525,0,Lower-frequency activity — Segment 1
KH00106530,0,Lower-frequency activity — Segment 1
KH00106565,0,Lower-frequency activity — Segment 1
KH00106570,1,Higher online-spend share — Segment 2
KH00106605,0,Lower-frequency activity — Segment 1
KH00106610,0,Lower-frequency activity — Segment 1
KH00106645,1,Higher online-spend share — Segment 2
KH00106650,1,Higher online-spend share — Segment 2
KH00106685,1,Higher online-spend share — Segment 2
KH00106690,0,Lower-frequency activity — Segment 1
KH00106725,1,Higher online-spend share — Segment 2
KH00106730,0,Lower-frequency activity — Segment 1
KH00106765,0,Lower-frequency activity — Segment 1
KH00106770,1,Higher online-spend share — Segment 2
KH00106805,0,Lower-frequency activity — Segment 1
KH00106810,0,Lower-frequency activity — Segment 1
KH00106845,1,Higher online-spend share — Segment 2
KH00106850,1,Higher online-spend share — Segment 2
KH00106885,0,Lower-frequency activity — Segment 1
KH00106890,1,Higher online-spend share — Segment 2
KH00106925,0,Lower-frequency activity — Segment 1
KH00106930,0,Lower-frequency activity — Segment 1
KH00106965,0,Lower-frequency activity — Segment 1
KH00106970,0,Lower-frequency activity — Segment 1
KH00107005,0,Lower-frequency activity — Segment 1
KH00107010,0,Lower-frequency activity — Segment 1
KH00107045,0,Lower-frequency activity — Segment 1
KH00107050,1,Higher online-spend share — Segment 2
KH00107085,1,Higher online-spend share — Segment 2
KH00107090,0,Lower-frequency activity — Segment 1
KH00107125,1,Higher online-spend share — Segment 2
KH00107130,0,Lower-frequency activity — Segment 1
KH00107165,1,Higher online-spend share — Segment 2
KH00107170,0,Lower-frequency activity — Segment 1
KH00107205,0,Lower-frequency activity — Segment 1
KH00107210,1,Higher online-spend share — Segment 2
KH00107245,0,Lower-frequency activity — Segment 1
KH00107250,1,Higher online-spend share — Segment 2
KH00107285,0,Lower-frequency activity — Segment 1
KH00107290,1,Higher online-spend share — Segment 2
KH00107325,0,Lower-frequency activity — Segment 1
KH00107330,1,Higher online-spend share — Segment 2
KH00107365,0,Lower-frequency activity — Segment 1
KH00107370,1,Higher online-spend share — Segment 2
KH00107405,1,Higher online-spend share — Segment 2
KH00107410,1,Higher online-spend share — Segment 2
KH00107445,0,Lower-frequency activity — Segment 1
KH00107450,1,Higher online-spend share — Segment 2
KH00107485,0,Lower-frequency activity — Segment 1
KH00107490,0,Lower-frequency activity — Segment 1
KH00107525,0,Lower-frequency activity — Segment 1
KH00107530,0,Lower-frequency activity — Segment 1
KH00107565,0,Lower-frequency activity — Segment 1
KH00107570,0,Lower-frequency activity — Segment 1
KH00107605,0,Lower-frequency activity — Segment 1
KH00107610,0,Lower-frequency activity — Segment 1
KH00107645,0,Lower-frequency activity — Segment 1
KH00107650,1,Higher online-spend share — Segment 2
KH00107685,1,Higher online-spend share — Segment 2
KH00107690,0,Lower-frequency activity — Segment 1
KH00107725,1,Higher online-spend share — Segment 2
KH00107730,1,Higher online-spend share — Segment 2
KH00107765,1,Higher online-spend share — Segment 2
KH00107770,1,Higher online-spend share — Segment 2
KH00107805,1,Higher online-spend share — Segment 2
KH00107810,1,Higher online-spend share — Segment 2
KH00107845,1,Higher online-spend share — Segment 2
KH00107850,1,Higher online-spend share — Segment 2
KH00107885,1,Higher online-spend share — Segment 2
KH00107890,1,Higher online-spend share — Segment 2
KH00107925,1,Higher online-spend share — Segment 2
KH00107930,1,Higher online-spend share — Segment 2
KH00107965,0,Lower-frequency activity — Segment 1
KH00107970,1,Higher online-spend share — Segment 2
KH00108005,0,Lower-frequency activity — Segment 1
KH00108010,0,Lower-frequency activity — Segment 1
KH00108045,0,Lower-frequency activity — Segment 1
KH00108050,1,Higher online-spend share — Segment 2
KH00108085,1,Higher online-spend share — Segment 2
KH00108090,0,Lower-frequency activity — Segment 1
KH00108125,0,Lower-frequency activity — Segment 1
KH00108130,0,Lower-frequency activity — Segment 1
KH00108165,1,Higher online-spend share — Segment 2
KH00108170,1,Higher online-spend share — Segment 2
KH00108205,1,Higher online-spend share — Segment 2
KH00108210,1,Higher online-spend share — Segment 2
KH00108245,0,Lower-frequency activity — Segment 1
KH00108250,0,Lower-frequency activity — Segment 1
KH00108285,0,Lower-frequency activity — Segment 1
KH00108290,0,Lower-frequency activity — Segment 1
KH00108325,1,Higher online-spend share — Segment 2
KH00108330,0,Lower-frequency activity — Segment 1
KH00108365,1,Higher online-spend share — Segment 2
KH00108370,0,Lower-frequency activity — Segment 1
KH00108405,0,Lower-frequency activity — Segment 1
KH00108410,1,Higher online-spend share — Segment 2
KH00108445,0,Lower-frequency activity — Segment 1
KH00108450,1,Higher online-spend share — Segment 2
KH00108485,0,Lower-frequency activity — Segment 1
KH00108490,1,Higher online-spend share — Segment 2
KH00108525,0,Lower-frequency activity — Segment 1
KH00108530,1,Higher online-spend share — Segment 2
KH00108565,1,Higher online-spend share — Segment 2
KH00108570,0,Lower-frequency activity — Segment 1
KH00108605,0,Lower-frequency activity — Segment 1
KH00108610,0,Lower-frequency activity — Segment 1
KH00108645,0,Lower-frequency activity — Segment 1
KH00108650,0,Lower-frequency activity — Segment 1
KH00108685,0,Lower-frequency activity — Segment 1
KH00108690,0,Lower-frequency activity — Segment 1
KH00108725,0,Lower-frequency activity — Segment 1
KH00108730,1,Higher online-spend share — Segment 2
KH00108765,1,Higher online-spend share — Segment 2
KH00108770,1,Higher online-spend share — Segment 2
KH00108805,1,Higher online-spend share — Segment 2
KH00108810,0,Lower-frequency activity — Segment 1
KH00108845,1,Higher online-spend share — Segment 2
KH00108850,0,Lower-frequency activity — Segment 1
KH00108885,0,Lower-frequency activity — Segment 1
KH00108890,0,Lower-frequency activity — Segment 1
KH00108925,0,Lower-frequency activity — Segment 1
KH00108930,0,Lower-frequency activity — Segment 1
KH00108965,1,Higher online-spend share — Segment 2
KH00108970,1,Higher online-spend share — Segment 2
KH00109005,0,Lower-frequency activity — Segment 1
KH00109010,0,Lower-frequency activity — Segment 1
KH00109045,1,Higher online-spend share — Segment 2
KH00109050,1,Higher online-spend share — Segment 2
KH00109085,0,Lower-frequency activity — Segment 1
KH00109090,0,Lower-frequency activity — Segment 1
KH00109125,0,Lower-frequency activity — Segment 1
KH00109130,0,Lower-frequency activity — Segment 1
KH00109165,0,Lower-frequency activity — Segment 1
KH00109170,1,Higher online-spend share — Segment 2
KH00109205,0,Lower-frequency activity — Segment 1
KH00109210,0,Lower-frequency activity — Segment 1
KH00109245,1,Higher online-spend share — Segment 2
KH00109250,0,Lower-frequency activity — Segment 1
KH00109285,1,Higher online-spend share — Segment 2
KH00109290,0,Lower-frequency activity — Segment 1
KH00109325,0,Lower-frequency activity — Segment 1
KH00109330,0,Lower-frequency activity — Segment 1
KH00109365,0,Lower-frequency activity — Segment 1
KH00109370,1,Higher online-spend share — Segment 2
KH00109405,0,Lower-frequency activity — Segment 1
KH00109410,0,Lower-frequency activity — Segment 1
KH00109445,0,Lower-frequency activity — Segment 1
KH00109450,1,Higher online-spend share — Segment 2
KH00109485,1,Higher online-spend share — Segment 2
KH00109490,0,Lower-frequency activity — Segment 1
KH00109525,0,Lower-frequency activity — Segment 1
KH00109530,0,Lower-frequency activity — Segment 1
KH00109565,0,Lower-frequency activity — Segment 1
KH00109570,0,Lower-frequency activity — Segment 1
KH00109605,0,Lower-frequency activity — Segment 1
KH00109610,1,Higher online-spend share — Segment 2
KH00109645,1,Higher online-spend share — Segment 2
KH00109650,1,Higher online-spend share — Segment 2
KH00109685,0,Lower-frequency activity — Segment 1
KH00109690,1,Higher online-spend share — Segment 2
KH00109725,1,Higher online-spend share — Segment 2
KH00109730,1,Higher online-spend share — Segment 2
KH00109765,0,Lower-frequency activity — Segment 1
KH00109770,0,Lower-frequency activity — Segment 1
KH00109805,1,Higher online-spend share — Segment 2
KH00109810,1,Higher online-spend share — Segment 2
KH00109845,0,Lower-frequency activity — Segment 1
KH00109850,0,Lower-frequency activity — Segment 1
KH00109885,0,Lower-frequency activity — Segment 1
KH00109890,0,Lower-frequency activity — Segment 1
KH00109925,1,Higher online-spend share — Segment 2
KH00109930,1,Higher online-spend share — Segment 2
KH00109965,1,Higher online-spend share — Segment 2
KH00109970,0,Lower-frequency activity — Segment 1
KH00110005,1,Higher online-spend share — Segment 2
KH00110010,1,Higher online-spend share — Segment 2
KH00110045,1,Higher online-spend share — Segment 2
KH00110050,0,Lower-frequency activity — Segment 1
KH00110085,0,Lower-frequency activity — Segment 1
KH00110090,0,Lower-frequency activity — Segment 1
KH00110125,0,Lower-frequency activity — Segment 1
KH00110130,0,Lower-frequency activity — Segment 1
KH00110165,1,Higher online-spend share — Segment 2
KH00110170,1,Higher online-spend share — Segment 2
KH00110205,1,Higher online-spend share — Segment 2
KH00110210,0,Lower-frequency activity — Segment 1
KH00110245,1,Higher online-spend share — Segment 2
KH00110250,0,Lower-frequency activity — Segment 1
KH00110285,1,Higher online-spend share — Segment 2
KH00110290,1,Higher online-spend share — Segment 2
KH00110325,0,Lower-frequency activity — Segment 1
KH00110330,1,Higher online-spend share — Segment 2
KH00110365,0,Lower-frequency activity — Segment 1
KH00110370,1,Higher online-spend share — Segment 2
KH00110405,0,Lower-frequency activity — Segment 1
KH00110410,0,Lower-frequency activity — Segment 1
KH00110445,0,Lower-frequency activity — Segment 1
KH00110450,1,Higher online-spend share — Segment 2
KH00110485,1,Higher online-spend share — Segment 2
KH00110490,0,Lower-frequency activity — Segment 1
KH00110525,0,Lower-frequency activity — Segment 1
KH00110530,0,Lower-frequency activity — Segment 1
KH00110565,1,Higher online-spend share — Segment 2
KH00110570,1,Higher online-spend share — Segment 2
KH00110605,1,Higher online-spend share — Segment 2
KH00110610,1,Higher online-spend share — Segment 2
KH00110645,0,Lower-frequency activity — Segment 1
KH00110650,1,Higher online-spend share — Segment 2
KH00110685,0,Lower-frequency activity — Segment 1
KH00110690,0,Lower-frequency activity — Segment 1
KH00110725,0,Lower-frequency activity — Segment 1
KH00110730,1,Higher online-spend share — Segment 2
KH00110765,1,Higher online-spend share — Segment 2
KH00110770,1,Higher online-spend share — Segment 2
KH00110805,0,Lower-frequency activity — Segment 1
KH00110810,1,Higher online-spend share — Segment 2
KH00110845,0,Lower-frequency activity — Segment 1
KH00110850,1,Higher online-spend share — Segment 2
KH00110885,1,Higher online-spend share — Segment 2
KH00110890,0,Lower-frequency activity — Segment 1
KH00110925,1,Higher online-spend share — Segment 2
KH00110930,1,Higher online-spend share — Segment 2
KH00110965,0,Lower-frequency activity — Segment 1
KH00110970,1,Higher online-spend share — Segment 2
KH00111005,1,Higher online-spend share — Segment 2
KH00111010,0,Lower-frequency activity — Segment 1
KH00111045,0,Lower-frequency activity — Segment 1
KH00111050,0,Lower-frequency activity — Segment 1
KH00111085,1,Higher online-spend share — Segment 2
KH00111090,0,Lower-frequency activity — Segment 1
KH00111125,0,Lower-frequency activity — Segment 1
KH00111130,0,Lower-frequency activity — Segment 1
KH00111165,0,Lower-frequency activity — Segment 1
KH00111170,0,Lower-frequency activity — Segment 1
KH00111205,1,Higher online-spend share — Segment 2
KH00111210,1,Higher online-spend share — Segment 2
KH00111245,0,Lower-frequency activity — Segment 1
KH00111250,0,Lower-frequency activity — Segment 1
KH00111285,0,Lower-frequency activity — Segment 1
KH00111290,0,Lower-frequency activity — Segment 1
KH00111325,0,Lower-frequency activity — Segment 1
KH00111330,1,Higher online-spend share — Segment 2
KH00111365,1,Higher online-spend share — Segment 2
KH00111370,1,Higher online-spend share — Segment 2
KH00111405,0,Lower-frequency activity — Segment 1
KH00111410,0,Lower-frequency activity — Segment 1
KH00111445,0,Lower-frequency activity — Segment 1
KH00111450,1,Higher online-spend share — Segment 2
KH00111485,0,Lower-frequency activity — Segment 1
KH00111490,0,Lower-frequency activity — Segment 1
KH00111525,1,Higher online-spend share — Segment 2
KH00111530,0,Lower-frequency activity — Segment 1
KH00111565,0,Lower-frequency activity — Segment 1
KH00111570,0,Lower-frequency activity — Segment 1
KH00111605,0,Lower-frequency activity — Segment 1
KH00111610,0,Lower-frequency activity — Segment 1
KH00111645,1,Higher online-spend share — Segment 2
KH00111650,0,Lower-frequency activity — Segment 1
KH00111685,0,Lower-frequency activity — Segment 1
KH00111690,1,Higher online-spend share — Segment 2
KH00111725,1,Higher online-spend share — Segment 2
KH00111730,0,Lower-frequency activity — Segment 1
KH00111765,1,Higher online-spend share — Segment 2
KH00111770,0,Lower-frequency activity — Segment 1
KH00111805,0,Lower-frequency activity — Segment 1
KH00111810,1,Higher online-spend share — Segment 2
KH00111845,1,Higher online-spend share — Segment 2
KH00111850,1,Higher online-spend share — Segment 2
