consumer_id,median_spend_to_income_ratio,median_credit_utilization_ratio,median_essential_spend_ratio,median_online_spend_ratio,log1p_mean_monthly_transaction_count,n_observed_months,latest_observed_month,months_health_under_40,stress_month_share,months_stressed_high_engagement,months_healthy_low_engagement,mean_financial_health_score,mean_engagement_score,latest_financial_health_score,latest_engagement_score,latest_age,latest_gender,latest_occupation,latest_province_city
KH00101325,0.6336999999999999,0.19175,0.4763122120492822,0.1872801034024111,5.212214667494625,12,2025-12-01,0,0.0,0,0,65.28333333333333,78.71666666666667,52.5,78.8,16,Nam,Kế toán viên tài chính công,Khánh Hòa
KH00101330,0.50665,0.09920000000000001,0.4118286440120801,0.1796085591773493,5.497168225293202,12,2025-12-01,0,0.0,0,0,74.45833333333333,78.95833333333333,62.7,80.3,26,Nam,Kỹ sư điện,Khánh Hòa
KH00101365,0.7112,0.2482,0.5210507992445997,0.21653553287322835,5.214935757608986,12,2025-12-01,0,0.0,0,0,63.40833333333333,80.11666666666666,50.3,77.4,51,Nam,Chuyên viên làm vườn thương mại,Hưng Yên
KH00101370,0.76595,0.23295,0.3755046251989551,0.22076580488336975,4.1298189504157605,12,2025-12-01,0,0.0,0,0,62.78333333333333,75.36666666666666,53.3,77.7,29,Nam,Cán bộ bình đẳng và đa dạng,Hà Nội
KH00101405,0.67625,0.13979999999999998,0.5748185020150651,0.17161974885970444,5.213122520484805,12,2025-12-01,0,0.0,0,0,68.18333333333334,79.52499999999999,56.2,79.8,76,Nam,Chuyên viên tư vấn hưu trí,Nghệ An
KH00101410,0.6226,0.13040000000000002,0.5393087341254863,0.1853376909032963,5.214935757608986,12,2025-12-01,0,0.0,0,0,67.44166666666666,78.875,52.4,81.2,48,Nữ,Chuyên viên thu mua công nghiệp,Bắc Ninh
KH00101445,0.4299,0.14195000000000002,0.6565457438202982,0.12321468479802765,4.128477568591559,12,2025-12-01,0,0.0,0,0,74.41666666666667,70.35000000000001,47.6,72.5,33,Nữ,Chuyên viên ngân hàng đầu tư vận hành,Nghệ An
KH00101450,0.5440499999999999,0.12895,0.5283247062788905,0.16338965895056123,4.128477568591559,12,2025-12-01,0,0.0,0,0,70.85833333333333,71.23333333333333,59.5,72.8,57,Nữ,Kỹ sư đóng tàu,Cần Thơ
KH00101485,0.7053,0.25525000000000003,0.443561110271339,0.20795639500439173,4.144456603649449,12,2025-12-01,0,0.0,0,0,61.958333333333336,74.89999999999999,46.8,79.6,41,Nữ,Nhà di truyền học phân tử,Phú Thọ
KH00101490,0.53325,0.17409999999999998,0.3899086258191491,0.18129480814853965,5.215388553632117,12,2025-12-01,0,0.0,0,0,71.27499999999999,79.31666666666666,54.7,78.3,36,Nam,Chuyên viên vệ sinh lao động,Hà Nội
KH00101525,0.70455,0.1613,0.5363007877088933,0.14697247334701158,4.143134726391533,12,2025-12-01,0,0.0,0,0,67.75833333333334,73.04166666666667,61.7,69.1,62,Nam,Chuyên viên trị liệu nghề nghiệp,Hải Phòng
KH00101530,0.71035,0.20829999999999999,0.5658796162106619,0.1712383256517032,4.139158578011894,12,2025-12-01,0,0.0,0,0,65.35000000000001,73.80833333333334,59.8,78.9,63,Nữ,Chuyên viên trị liệu thảo dược,Hải Phòng
KH00101565,0.68745,0.1494,0.5940171865781079,0.17355988948806023,5.214935757608986,12,2025-12-01,0,0.0,0,0,66.675,77.55833333333334,60.4,75.4,60,Nữ,Nhà vật lý y khoa,Thành phố Hồ Chí Minh
KH00101570,0.82425,0.25605,0.5617617236812197,0.19375472915261716,4.135166556742356,12,2025-12-01,0,0.0,0,0,62.9,73.5,57.9,72.0,57,Nữ,Chuyên viên giám sát xây dựng,Khánh Hòa
KH00101605,0.63715,0.21739999999999998,0.4611696572069019,0.20994744464788334,5.499896739946406,12,2025-12-01,0,0.0,0,0,62.43333333333334,79.85000000000001,46.7,85.6,40,Nữ,Nhà tâm lý học giáo dục,Đồng Nai
KH00101610,0.6821,0.2553,0.0447985463186218,0.6771615939243573,2.3978952727983707,1,2025-12-01,0,0.0,0,0,60.3,55.3,60.3,55.3,61,Nam,Quản trị viên cơ sở dữ liệu,Thành phố Hồ Chí Minh
KH00101645,0.7556,0.26915,0.2665903945067564,0.27384313022954976,5.901950039900234,12,2025-12-01,0,0.0,0,0,60.85,83.55833333333334,50.2,83.6,24,Nam,Chuyên viên tư vấn hưu trí,Thanh Hóa
KH00101650,0.5013,0.1834,0.5838797684405993,0.126321408836226,4.816241156068032,12,2025-12-01,0,0.0,0,0,67.38333333333334,75.90833333333333,55.5,76.1,60,Nữ,Kỹ sư cơ khí,Tây Ninh
KH00101685,0.5148999999999999,0.19455,0.6001624375097991,0.17964562074512455,5.496826636903886,12,2025-12-01,0,0.0,0,0,70.19166666666666,78.25,52.5,74.7,58,Nam,Nhà khoa học phát triển sản phẩm,Lạng Sơn
KH00101690,0.68655,0.2622,0.42497162246091924,0.19198335324922483,5.4995560824741965,12,2025-12-01,0,0.0,0,0,65.45833333333333,79.425,51.5,81.5,29,Nam,Cán bộ phát triển nghệ thuật,Hà Nội
KH00101725,0.5724499999999999,0.119,0.4559128350971584,0.2272140383538564,5.212668697014343,12,2025-12-01,0,0.0,0,0,71.02499999999999,80.86666666666666,55.5,85.8,33,Nữ,Nhà tâm lý học giáo dục,Cao Bằng
KH00101730,0.54645,0.1399,0.5231403599775879,0.17518293413940245,5.721404076006021,12,2025-12-01,0,0.0,0,0,68.69166666666666,78.76666666666667,52.7,79.4,44,Nữ,Chuyên viên thẩm định bảo hiểm,Thành phố Hồ Chí Minh
KH00101765,0.8049,0.17504999999999998,0.48461277773130557,0.1772836316738978,4.813538451720147,12,2025-12-01,0,0.0,0,0,62.925000000000004,76.02499999999999,55.0,80.0,72,Nam,Chuyên viên gây quỹ từ thiện,Quảng Trị
KH00101770,0.64025,0.25039999999999996,0.46744325620928184,0.12684872329213132,4.135166556742356,12,2025-12-01,0,0.0,0,0,62.225,72.95,61.7,71.9,94,Nữ,Kỹ thuật viên kế toán,Thái Nguyên
KH00101805,0.49695,0.1399,0.39368632852872515,0.1829514668421107,5.720858075446456,12,2025-12-01,0,0.0,0,0,68.425,80.70833333333333,62.8,80.6,25,Nam,Chuyên viên quản lý đất đai,Đà Nẵng
KH00101810,0.8147,0.19119999999999998,0.540436829970923,0.17551890284933813,5.4954591153232455,12,2025-12-01,0,0.0,0,0,61.75,79.47500000000001,47.6,84.9,48,Nam,Người phụ trách bảo tàng,Thái Nguyên
KH00101845,0.7198,0.19319999999999998,0.3681582568563292,0.2119664607544935,4.1244425933793805,12,2025-12-01,0,0.0,0,0,62.86666666666667,74.89999999999999,50.2,75.9,35,Nữ,Kỹ thuật viên phòng thí nghiệm giảng dạy,Thành phố Hồ Chí Minh
KH00101850,0.72085,0.2409,0.5095869455165081,0.18042830658768755,5.2158411447237985,12,2025-12-01,0,0.0,0,0,62.791666666666664,78.97500000000001,54.6,76.6,62,Nữ,Chuyên viên châm cứu,Hà Tĩnh
KH00101885,0.5682,0.10869999999999999,0.4308758267886809,0.22425938915027685,4.132496328186477,12,2025-12-01,0,0.0,0,0,69.25833333333334,76.39166666666667,62.7,80.7,88,Nam,Kỹ sư vật liệu,Thanh Hóa
KH00101890,0.6637500000000001,0.13635,0.5315065453471548,0.16514275767973785,4.127134385045092,12,2025-12-01,0,0.0,0,0,65.02499999999999,71.59166666666667,59.6,69.9,53,Nữ,Chuyên viên quy hoạch giao thông,Hưng Yên
KH00101925,0.73325,0.2459,0.4478289097646409,0.2052459603913384,5.719765179162811,12,2025-12-01,0,0.0,0,0,60.041666666666664,80.10000000000001,51.3,77.4,23,Nữ,Cán bộ trại giam,Đắk Lắk
KH00101930,0.75515,0.17145,0.5291133304753302,0.15256021401093417,4.133832333729219,12,2025-12-01,0,0.0,0,0,63.775,72.86666666666666,49.7,75.8,51,Nam,Biên tập viên hiệu đính,Ninh Bình
KH00101965,0.849,0.30265,0.47475366382737044,0.16200865335433257,4.814214812922799,12,2025-12-01,2,0.16666666666666666,1,0,53.44166666666666,78.10833333333333,21.9,76.1,32,Nam,Cán bộ triển lãm bảo tàng,Cao Bằng
KH00101970,0.6252,0.2147,0.4832925732664859,0.1341666994727344,5.214482756468736,12,2025-12-01,0,0.0,0,0,65.06666666666666,77.91666666666667,55.2,84.6,70,Nữ,Chuyên viên tư vấn nông nghiệp,Sơn La
KH00102005,0.6735,0.1628,0.1918301891779965,0.3998554951493951,2.302585092994046,1,2025-08-01,0,0.0,0,0,63.5,37.7,63.5,37.7,81,Nam,Quản lý lâm nghiệp,Cà Mau
KH00102010,0.7103999999999999,0.2128,0.5062187188034888,0.18225635286482056,4.137829674161839,12,2025-12-01,1,0.08333333333333333,1,0,59.74166666666667,74.77499999999999,42.4,87.3,53,Nữ,Cán bộ tổ chức từ thiện,Đồng Tháp
KH00102045,0.68265,0.19135000000000002,0.4634962934328061,0.23253876625166225,5.214482756468736,12,2025-12-01,0,0.0,0,0,65.93333333333334,81.14166666666667,50.2,86.5,39,Nữ,Thầy thuốc đông y,Thành phố Hồ Chí Minh
KH00102050,0.48475,0.12895,0.5152505545621646,0.17580195630047324,5.217197690263049,12,2025-12-01,0,0.0,0,0,70.025,78.56666666666666,51.8,82.9,52,Nam,Kỹ sư cơ khí,Hải Phòng
KH00102085,0.6514,0.1436,0.0901965392637856,0.7697464672875232,2.3978952727983707,1,2025-09-01,0,0.0,0,0,65.4,48.1,65.4,48.1,71,Nữ,Chuyên viên thu mua công nghiệp,An Giang
KH00102090,0.7476499999999999,0.15175,0.4755646377334586,0.15419858342658055,5.501598288765995,12,2025-12-01,0,0.0,0,0,63.26666666666667,79.95833333333333,57.3,77.3,21,Nữ,Trình dược viên,Đồng Nai
KH00102125,0.3804,0.1027,0.5320347490837197,0.18695500573340335,5.500918016630917,12,2025-12-01,0,0.0,0,0,73.325,78.98333333333333,60.9,79.4,60,Nữ,Kiến trúc sư cảnh quan,Thành phố Hồ Chí Minh
KH00102130,0.85865,0.1758,0.5388833606598137,0.1557770294815062,5.216293531069446,12,2025-12-01,0,0.0,0,0,63.74166666666667,78.34166666666667,57.8,79.2,59,Nam,Cán bộ quản chế,Hà Tĩnh
KH00102165,0.79575,0.29600000000000004,0.5483075181370731,0.162855804952645,4.1364990019761345,12,2025-12-01,0,0.0,0,0,62.40833333333333,72.59166666666667,55.9,77.5,80,Nam,Giáo viên mầm non,Hải Phòng
KH00102170,0.6802999999999999,0.20875,0.4951692602004525,0.17579856423207518,5.2158411447237985,12,2025-12-01,0,0.0,0,0,64.80833333333334,78.69166666666666,53.2,78.8,74,Nam,Chuyên viên tổ chức sự kiện,Tuyên Quang
KH00102205,0.6433,0.16010000000000002,0.5192102741404453,0.1889823077757816,4.814890716970161,12,2025-12-01,0,0.0,0,0,67.01666666666667,79.71666666666667,54.1,79.2,39,Nam,Điều dưỡng nhi khoa,Vĩnh Long
KH00102210,0.75425,0.15605,0.4724062017555957,0.20068544517937745,4.131158535344817,12,2025-12-01,0,0.0,0,0,63.51666666666667,73.5,51.2,84.7,96,Nam,Chuyên viên phục chế đồ gỗ,Quảng Trị
KH00102245,0.47135,0.1351,0.5578980105532139,0.18012012605720257,5.502278098445473,12,2025-12-01,0,0.0,0,0,71.875,79.575,60.8,77.0,64,Nam,Nhà khoa học thính học,Bắc Ninh
KH00102250,0.5624,0.188,0.5645009874595326,0.20362265204906693,4.815566164479798,12,2025-12-01,0,0.0,0,0,66.53333333333333,79.3,62.0,81.6,33,Nam,Chuyên viên khảo sát thủy văn,Hưng Yên
KH00102285,0.79525,0.1758,0.4234967775614411,0.20677935829393504,4.1364990019761345,12,2025-12-01,0,0.0,0,0,65.14999999999999,73.05833333333334,54.1,75.3,33,Nam,Chuyên viên giám định rủi ro bảo hiểm,Lâm Đồng
KH00102290,0.74975,0.21689999999999998,0.39763004963649007,0.1959007051183853,5.215388553632117,12,2025-12-01,0,0.0,0,0,63.88333333333333,79.53333333333333,56.2,79.0,27,Nam,Chuyên viên trắc địa,Quảng Ninh
KH00102325,0.6507000000000001,0.1637,0.4809671390799085,0.20535168688413608,4.814214812922799,12,2025-12-01,0,0.0,0,0,65.875,77.95,52.5,75.1,64,Nam,Nhà sản xuất phát thanh,Cần Thơ
KH00102330,0.6181,0.11875,0.4760700338001278,0.14010432522174085,5.212214667494625,12,2025-12-01,0,0.0,0,0,67.425,76.33333333333333,65.4,76.7,61,Nam,Kế toán công tài chính công,Thành phố Hồ Chí Minh
